Code Language,Industry,Topic,Prompt ID,Model,Dimension,count_5s
Python,FinTech,Option Pricing via Monte Carlo,366,Claude,Relevance,1
Python,FinTech,Option Pricing via Monte Carlo,366,Claude,Correctness,0
Python,FinTech,Option Pricing via Monte Carlo,366,Claude,Completeness,2
Python,FinTech,Portfolio Optimization,365,Chatgpt,Relevance,2
Python,FinTech,Portfolio Optimization,365,Chatgpt,Correctness,0
Python,FinTech,Portfolio Optimization,365,Chatgpt,Completeness,0
Python,FinTech,Portfolio Optimization,365,Gemini,Relevance,1
Python,FinTech,Portfolio Optimization,365,Gemini,Correctness,0
Python,FinTech,Portfolio Optimization,365,Gemini,Completeness,1
Python,FinTech,Portfolio Optimization,365,Claude,Relevance,3
Python,FinTech,Portfolio Optimization,365,Claude,Correctness,2
Python,FinTech,Portfolio Optimization,365,Claude,Completeness,2
Python,Machine Learning,Few‑Shot Text Classification,361,Chatgpt,Relevance,1
Python,Machine Learning,Few‑Shot Text Classification,361,Chatgpt,Correctness,0
Python,Machine Learning,Few‑Shot Text Classification,361,Chatgpt,Completeness,0
Python,Machine Learning,Few‑Shot Text Classification,361,Gemini,Relevance,2
Python,Machine Learning,Few‑Shot Text Classification,361,Gemini,Correctness,0
Python,Machine Learning,Few‑Shot Text Classification,361,Gemini,Completeness,0
Python,Machine Learning,Few‑Shot Text Classification,361,Claude,Relevance,2
Python,Machine Learning,Few‑Shot Text Classification,361,Claude,Correctness,2
Python,Machine Learning,Few‑Shot Text Classification,361,Claude,Completeness,1
Python,Machine Learning,Image Captioning with CNN+RNN,362,Chatgpt,Relevance,3
Python,Machine Learning,Image Captioning with CNN+RNN,362,Chatgpt,Correctness,0
Python,Machine Learning,Image Captioning with CNN+RNN,362,Chatgpt,Completeness,1
Python,Machine Learning,Image Captioning with CNN+RNN,362,Gemini,Relevance,3
Python,Machine Learning,Image Captioning with CNN+RNN,362,Gemini,Correctness,1
Python,Machine Learning,Image Captioning with CNN+RNN,362,Gemini,Completeness,0
Python,Machine Learning,Image Captioning with CNN+RNN,362,Claude,Relevance,3
Python,Machine Learning,Image Captioning with CNN+RNN,362,Claude,Correctness,1
Python,Machine Learning,Image Captioning with CNN+RNN,362,Claude,Completeness,1
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Chatgpt,Relevance,3
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Chatgpt,Correctness,0
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Chatgpt,Completeness,0
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Gemini,Relevance,3
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Gemini,Correctness,2
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Gemini,Completeness,2
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Claude,Relevance,3
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Claude,Correctness,0
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,Claude,Completeness,1
Python,Machine Learning,Time‑Series Anomaly Detection,360,Chatgpt,Relevance,2
Python,Machine Learning,Time‑Series Anomaly Detection,360,Chatgpt,Correctness,0
Python,Machine Learning,Time‑Series Anomaly Detection,360,Chatgpt,Completeness,0
Python,Machine Learning,Time‑Series Anomaly Detection,360,Gemini,Relevance,2
Python,Machine Learning,Time‑Series Anomaly Detection,360,Gemini,Correctness,2
Python,Machine Learning,Time‑Series Anomaly Detection,360,Gemini,Completeness,2
Python,Machine Learning,Time‑Series Anomaly Detection,360,Claude,Relevance,2
Python,Machine Learning,Time‑Series Anomaly Detection,360,Claude,Correctness,2
Python,Machine Learning,Time‑Series Anomaly Detection,360,Claude,Completeness,2
Python,Machine Learning,Unsupervised Representation Learning,364,Chatgpt,Relevance,3
Python,Machine Learning,Unsupervised Representation Learning,364,Chatgpt,Correctness,0
Python,Machine Learning,Unsupervised Representation Learning,364,Chatgpt,Completeness,0
Python,Machine Learning,Unsupervised Representation Learning,364,Gemini,Relevance,2
Python,Machine Learning,Unsupervised Representation Learning,364,Gemini,Correctness,0
Python,Machine Learning,Unsupervised Representation Learning,364,Gemini,Completeness,1
Python,Machine Learning,Unsupervised Representation Learning,364,Claude,Relevance,3
Python,Machine Learning,Unsupervised Representation Learning,364,Claude,Correctness,1
Python,Machine Learning,Unsupervised Representation Learning,364,Claude,Completeness,1
